distance,rounds,noise,shots,num_qubits,num_detectors,average_detector_events_per_shot,decoder_failures,decoder_failure_rate
3,3,0.001,1000000,26,24,0.164637,262,0.000262
3,3,0.003,1000000,26,24,0.484662,2330,0.00233
3,3,0.01,1000000,26,24,1.536467,22676,0.022676
3,3,0,1000000,26,24,0.0,0,0.0
3,3,0.1,1000000,26,24,8.705343,451773,0.451773
3,5,0.001,1000000,26,40,0.291969,492,0.000492
3,5,0.003,1000000,26,40,0.855659,4392,0.004392
3,5,0.01,1000000,26,40,2.715138,42147,0.042147
3,5,0,1000000,26,40,0.0,0,0.0
3,5,0.1,1000000,26,40,14.976312,492711,0.492711
3,7,0.001,1000000,26,56,0.4185,767,0.000767
3,7,0.003,1000000,26,56,1.235038,6589,0.006589
3,7,0.01,1000000,26,56,3.895059,61459,0.061459
3,7,0,1000000,26,56,0.0,0,0.0
3,7,0.1,1000000,26,56,21.250191,497970,0.49797
5,3,0.001,1000000,64,72,0.595997,25,2.5e-05
5,3,0.003,1000000,64,72,1.758599,506,0.000506
5,3,0.01,1000000,64,72,5.508592,14757,0.014757
5,3,0,1000000,64,72,0.0,0,0.0
5,3,0.1,1000000,64,72,28.241984,493972,0.493972
5,5,0.001,1000000,64,120,1.060627,47,4.7e-05
5,5,0.003,1000000,64,120,3.121684,1099,0.001099
5,5,0.01,1000000,64,120,9.755775,31900,0.0319
5,5,0,1000000,64,120,0.0,0,0.0
5,5,0.1,1000000,64,120,48.415929,499956,0.499956
5,7,0.001,1000000,64,168,1.527248,63,6.3e-05
5,7,0.003,1000000,64,168,4.488001,1642,0.001642
5,7,0.01,1000000,64,168,13.995255,49233,0.049233
5,7,0,1000000,64,168,0.0,0,0.0
5,7,0.1,1000000,64,168,68.599794,499235,0.499235
7,3,0.001,1000000,118,144,1.292947,2,2e-06
7,3,0.003,1000000,118,144,3.806441,86,8.6e-05
7,3,0.01,1000000,118,144,11.865273,8596,0.008596
7,3,0,1000000,118,144,0.0,0,0.0
7,3,0.1,1000000,118,144,58.374895,499494,0.499494
7,5,0.001,1000000,118,240,2.3023,1,1e-06
7,5,0.003,1000000,118,240,6.773114,225,0.000225
7,5,0.01,1000000,118,240,21.016577,22426,0.022426
7,5,0,1000000,118,240,0.0,0,0.0
7,5,0.1,1000000,118,240,99.944684,499524,0.499524
7,7,0.001,1000000,118,336,3.308095,3,3e-06
7,7,0.003,1000000,118,336,9.729602,369,0.000369
7,7,0.01,1000000,118,336,30.150868,36440,0.03644
7,7,0,1000000,118,336,0.0,0,0.0
7,7,0.1,1000000,118,336,141.522499,500037,0.500037
