distance,rounds,noise,shots,num_qubits,num_detectors,num_observables,total_detector_events,detector_event_rate,average_detector_events_per_shot,logical_flips,logical_flip_rate
3,3,0.001,10000,26,24,1,1696,0.007066666666666666,0.1696,112,0.0112
3,3,0.003,10000,26,24,1,4797,0.0199875,0.4797,346,0.0346
3,3,0.01,10000,26,24,1,15622,0.06509166666666667,1.5622,1021,0.1021
3,3,0.1,10000,26,24,1,87243,0.3635125,8.7243,4545,0.4545
3,5,0.001,10000,26,40,1,2760,0.0069,0.276,195,0.0195
3,5,0.003,10000,26,40,1,8733,0.0218325,0.8733,529,0.0529
3,5,0.01,10000,26,40,1,27131,0.0678275,2.7131,1553,0.1553
3,5,0.1,10000,26,40,1,149770,0.374425,14.977,4858,0.4858
3,7,0.001,10000,26,56,1,4361,0.0077875,0.4361,272,0.0272
3,7,0.003,10000,26,56,1,12260,0.021892857142857144,1.226,722,0.0722
3,7,0.01,10000,26,56,1,38482,0.06871785714285714,3.8482,2112,0.2112
3,7,0.1,10000,26,56,1,212427,0.37933392857142856,21.2427,4973,0.4973
3,9,0.001,10000,26,72,1,5543,0.007698611111111111,0.5543,364,0.0364
3,9,0.003,10000,26,72,1,15703,0.021809722222222223,1.5703,866,0.0866
3,9,0.01,10000,26,72,1,50481,0.0701125,5.0481,2429,0.2429
3,9,0.1,10000,26,72,1,275387,0.38248194444444444,27.5387,4964,0.4964
5,3,0.001,10000,64,72,1,6090,0.008458333333333333,0.609,209,0.0209
5,3,0.003,10000,64,72,1,17429,0.024206944444444444,1.7429,562,0.0562
5,3,0.01,10000,64,72,1,54904,0.07625555555555555,5.4904,1650,0.165
5,3,0.1,10000,64,72,1,281773,0.3913513888888889,28.1773,4933,0.4933
5,5,0.001,10000,64,120,1,10672,0.008893333333333333,1.0672,340,0.034
5,5,0.003,10000,64,120,1,31310,0.026091666666666666,3.131,930,0.093
5,5,0.01,10000,64,120,1,98204,0.08183666666666667,9.8204,2529,0.2529
5,5,0.1,10000,64,120,1,484620,0.40385,48.462,4864,0.4864
5,7,0.001,10000,64,168,1,15299,0.009106547619047618,1.5299,450,0.045
5,7,0.003,10000,64,168,1,44723,0.026620833333333333,4.4723,1251,0.1251
5,7,0.01,10000,64,168,1,138999,0.0827375,13.8999,3100,0.31
5,7,0.1,10000,64,168,1,686499,0.40863035714285717,68.6499,5015,0.5015
5,9,0.001,10000,64,216,1,19692,0.009116666666666667,1.9692,569,0.0569
5,9,0.003,10000,64,216,1,59209,0.027411574074074074,5.9209,1581,0.1581
5,9,0.01,10000,64,216,1,183003,0.08472361111111111,18.3003,3642,0.3642
5,9,0.1,10000,64,216,1,888010,0.41111574074074075,88.801,4955,0.4955
7,3,0.001,10000,118,144,1,13014,0.0090375,1.3014,278,0.0278
7,3,0.003,10000,118,144,1,37774,0.026231944444444443,3.7774,804,0.0804
7,3,0.01,10000,118,144,1,118113,0.08202291666666667,11.8113,2264,0.2264
7,3,0.1,10000,118,144,1,583301,0.4050701388888889,58.3301,5069,0.5069
7,5,0.001,10000,118,240,1,23132,0.009638333333333334,2.3132,482,0.0482
7,5,0.003,10000,118,240,1,68058,0.0283575,6.8058,1250,0.125
7,5,0.01,10000,118,240,1,209766,0.0874025,20.9766,3174,0.3174
7,5,0.1,10000,118,240,1,998508,0.416045,99.8508,4924,0.4924
7,7,0.001,10000,118,336,1,33033,0.00983125,3.3033,668,0.0668
7,7,0.003,10000,118,336,1,97567,0.02903779761904762,9.7567,1715,0.1715
7,7,0.01,10000,118,336,1,302202,0.08994107142857143,30.2202,3804,0.3804
7,7,0.1,10000,118,336,1,1413140,0.42057738095238095,141.314,4987,0.4987
7,9,0.001,10000,118,432,1,42866,0.009922685185185185,4.2866,819,0.0819
7,9,0.003,10000,118,432,1,127412,0.02949351851851852,12.7412,2092,0.2092
7,9,0.01,10000,118,432,1,392251,0.09079884259259259,39.2251,4206,0.4206
7,9,0.1,10000,118,432,1,1829342,0.4234587962962963,182.9342,5082,0.5082
